Hayat Boyu Ögrenme Genel  Müdürligine degisli Istanbul s.hünärmen kursy	2
Osmaniye s.orta mekdep., Uniwersal sertifikatlandyrys hünär kwalifikasiya hyzmatlaryn guramasy	2
Kair Uniwersiteti	2
Ceyhan yörite orta hünärmenlik mekdebi	2
Ysyk uniwersiteti	2
Ankara/Yenimahalle/(123323)Ostim hünärmenlik okuw,Sehit Ümit Tekinaslan yörite orta hünärmen mekdebi	2
Orta mekdep Kayseri s.,Hususy Çetinler is enjamlary okuw merkezi	2
Yasar Dedeman yörite orta hünärmenlik mekdebi	2
Cumhuriyet Uniwersiteti/Susehri Timur Karabal hünärmenlik yörite orta mekdebi	2
Keio Uniwersiteti	2
Feati uniwersiteti	2
Recep Tayyip Erdogan uniwersiteti,Barbaros senagat yörite orta hünärmenlik mekdebi	1
Andyryn köp meyilnamaly hünärmentlik mekdebi	1
Sanyan Himiya Uniwersiteti	1
Gebze Yokary Tehnologiya Instituty	1
Aston uniwersiteti	1
DOGUS Uniwersiteti.	1
"S.YESENOWA adyndaky Kaspi tehnologiya we inzenerçilik Uniwersiteti"	1
Hünär akkreditasiyasynyn sahadatnama SAU	1
Tehas A&M uniwersiteti	1
Üsküdar s.,orta mekdep	1
Atatürk senagat yörite orta hünärmen mekdebi	1
Ege Üniwersiteti/ Ege hünärment mekdebi	1
Hasandede Orhan Demirhan yörite orta hünärmenlik mekdebi	1
Badirma tehniki yörite orta hünärmenlik we senagat mekdebi	1
Atalar we tehniki Anadolu yörite orta hünärmenlik mekdebi	1
Atatürk Uniwersiteti, Zonguldak Karaelmas Uniwersiteti, IOSH kurs merkezi	1
Gültepe senagat yörite orta hünärmen mekdebi	1
Tarsus hünär okuwy merkezi	1
Changzhou uniwersiteti	1
Yasar Dedeman yörite orta hünärmenlik mekdebi	1
Midyat yörite orta hünärmenlik mekdebi	1
Karmanoglu Mehmetbey Uniwersiteti	1
Sanhay Tehnoligiya uniwersiteti	1
Midyat yörite orta hünärmenlik mekdebi	1
Hytayyn Geologiki ylymlar uniwersiteti	1
Babasaheb Ambedkar ad.tehnologiki uniwersiteti	1
Deniz Akademiyasy-Harby-Deniz Güyçlerinin Serkerdeligi	1
Kütahya Kiliçarslan yörite orta hünärmenlik mekdebi	1
CD Madero adyndaky tehnologiki instituty	1
Doruk liseyi	1
Istanbul Rumeli Uniwersiteti,Çanakkale Onsekiz Uniwersiteti	1
M. W. Lomonosow adyndaky Moskwa Döwlet Uniwersiteti	1
Hamburg uniwersiteti	1
Kirkagaç senagat hünärmenlik yörite orta mekdebi	1
Ordu uniwersiteti	1
Inzener tehnologiyalary Luna instituty	1
Alma-Ata inzenerçilik instituty	1
Seljuk Uniwersitetinin Konya Eregli Akman Hünärmenlik Kolleji	1
San Karlos uniwersiteti	1
Körfez s., orta mekdep., BII programma üpjünçiligi we sertifikatlandyrys Anonim paydarlar jemgyyeti	1
Sofiya Tehniki uniwersiteti	1
Vercelli Yokary okuw jayy	1
Don Honorio Wentura sungat we söwda kollezi	1
TUR.,  s.Mamak orta mekdep	1
Gümüshane uniwersiteti	1
Afsin Senagat hünärment okuwy	1
Gaziantep hünärmen liseyi	1
Nettur Tehniki okuw merkezi	1
Ümraniye/Istanbul s. Hususy awtoulag gurlusyk tehnikalary kursy	1
Bolu Senagat yörite orta hünärmenlik mekdebi	1
Istanbul Tehnik Uniwersiteti,Mehanika fakulteti, umumy mehanika bölümi	1
Taskendin Biruny adyndaky politehniki instituty	1
Balykesir merkez senagat hünärmenlik mekdebi	1
Elbistan Cumhuriyet yörite orta hünärmenlik mekdebi	1
Yakin Dogu uniwersiteti	1
Moskwanyn Oktyabr Rewolyusiya ordenli we Zähmet Gyzyl Baydakly Polat we Erginler instituty	1
Nanyang tehnologiki uniwersiteti	1
Breno orta mekdep	1
1.Keçiören Rauf Denktas liseyi,2.Bilge Adam okuw kursy	1
GBR, Dundee s.orta mekdep	1
KGKP "Lisakow tehniki kollezi"	1
Swessariyanyn hünärmen tayyarlama okuw merkezi	1
Kolorado uniwersiteti	1
Quaid-e-Awam adyndaky inzeneriya,ylym we tehnologiya uniwersiteti	1
Warwik uniwersiteti	1
Almata s.energetika we aragatnasyk instituty	1
Istanbul Medenyiet uniwersiteti,Anadolu unwersiteti	1
Kahramanmaras Sütçü Imam Uniwersiteti-Göksun yörite orta hünärmenlik mekdebi	1
Sakarya hünärmen kursy	1
York Uniwersiteti	1
Beyik Britaniyanyn Menejerçilik Institutynyn Kanterbury kolledzi	1
Yalova Aksa Senagat hünär okuwy	1
Milli Bilim Ministrligi, Jeyhun hünär okuw merkezi	1
Anadolu Hünärmen we Tehnik liseyi	1
Oba hojalyk ylymlarynyn we weterinar lukmançylygynyn Banata uniwersiteti	1
Kirikhan tehniki yörite orta hünärmenlik mekdebi	1
Tüv Awstriya kurslary	1
Mannheim uniwersiteti	1
orta,General Elektrik, Hyuston owrenis merkezi	1
Anadolu uniwersiteti/Gayybana okuw fakulteti	1
Alfenas orta mekdep	1
Della Kalabriya Uniwersiteti Italiya, Kozensa	1
"Georgian Southern" uniwersiteti,GE Vernova içerki tehniki okuw	1
Buhara Döwlet Uniwersiteti	1
Milli Bilim Ministrligine degisli Istanbul-Kartal ili, Medine Zayfur Sökmen liseyi	1
Rize Hünärmen Bilim Merkezi,Ussalyk  sahadatnamasy	1
General elektrik Energiya Hyzmatlary kursy	1
Ankara säherinin Baglar kurs merkezi, Elektrik -montaz sertifikaty	1
Universidad del Pais Vasco uniwersiteti	1
Ceyhan Senagat Hünärmen liseyi/Kwalifikasiyaly Kebsirleyji operator sahadatnamalary	1
Kartal hünärmenlik okuw merkezi,Ayancik Anadolu yörite orta hünärmen mekdebi	1
Milli Senagat bilim kursy	1
Merkezi Yaylym we Telewideniye Uniwersiteti	1
Sungurlu hünärmenlik we Tehniki Anadoly yörite orta mekdebi	1
Karadeniz tehniki uniwersiteti	1
Anadolu uniwersiteti/Ege uniwersitet-Ege yörite orta hünärmenlik mekdebi	1
Newsehir säherindäki Urgüp mekdebi	1
Milli bilim,yokary we ylmy-barlag ministrligi/Ruan akademiyasy	1
Anhui hünär-tehnik instituty	1
Samsun häkimligi,Ussalyk sahadatnamasy	1
Ankara s. Nallyhan Senagat Hünärmentlik Liseyi	1
Turin politehniki instituty	1
1.Soma Linyit liseyi,2.MBM-Manisa-Soma Halk Bilim merkezi,3.Tehniki Senagat hünär okuwy	1
Istanbul Arel Uniwersiteti,Hsilo wind systems sahadatnama N:p1L-3TA6NF7SRV	1
Monterrey tehnologiya instituty	1
Gediz uniwersiteti	1
Samsun 19 mayis yörite orta hünärmenlik mekdebi	1
Halkara sertifikaty	1
Tehniki yörite orta hünär mekdebi	1
Dekra hünärmen kurslary	1
Royal Tehnologiya instituty	1
Döger yörite orta hünärmenlik mekdebi	1
Demirgazyk günbatar Politehniki uniwersiteti	1
Oued Gueriananyn okuw we tayyarlyk merkezi	1
SAKARYA Döwlet Inzener we Binagärçilik Akademiyasy	1
Kanuni hünärmenlik we tehniki Anadolu yörite orta hünärmenlik mekdebi	1
Stambul Sisli Hünärmentlik Yokary okuw jayy	1
Kirikkale Cumhuriyet yörite orta hünärmenlik mekdebi	1
Sangkuyunkwan uniwersiteti	1
Sotlandiyanyn tehniki yörite hünärmen mekdebi, Orta Dogu Tehniki uniwersiteti	1
Tehnologiya uniwersiteti Madhya Pradesh	1
"Mihailo Petrowiç Alas" adyndaky yörite orta matematika hünärmenlik mekdebi	1
